ts_code,trade_date,p
801010,20190402,0.7701288039490111
801010,20190403,0.6741898716840298
801010,20190404,0.5898429297130684
801010,20190408,0.5970919338584844
801010,20190409,0.4522295737004497
801020,20190402,0.6439877694751492
801020,20190403,0.14658775620014847
801020,20190404,0.13071285038119967
801020,20190408,0.17615522908335773
801020,20190409,0.12175690623591331
801030,20190402,0.7061381050253179
801030,20190403,0.17884236484175425
801030,20190404,0.2222579062727766
801030,20190408,0.42369064501242554
801030,20190409,0.15580257460291908
801040,20190402,0.6148461540697727
801040,20190403,0.18612415796858853
801040,20190404,0.09788592334917787
801040,20190408,0.27203713299442484
801040,20190409,0.09985724629867498
801050,20190402,0.4758817915987537
801050,20190403,0.399972568079433
801050,20190404,0.4600848268425478
801050,20190408,0.5743954582094613
801050,20190409,0.34584478398153745
801080,20190402,0.8499247101886634
801080,20190403,0.5938357447386278
801080,20190404,0.4260000686822972
801080,20190408,0.28464111598828296
801080,20190409,0.2564929609978756
801110,20190402,0.47300342262129824
801110,20190403,0.12572117929055251
801110,20190404,0.35558650590656754
801110,20190408,0.21971583902863476
801110,20190409,0.1506128117652075
801120,20190402,0.2599329703858244
801120,20190403,0.20878044436735865
801120,20190404,0.3192388273723007
801120,20190408,0.10971371002893462
801120,20190409,0.5825358316749344
801130,20190402,0.8709845626848123
801130,20190403,0.130137363370123
801130,20190404,0.2451427786920244
801130,20190408,0.46379210538891336
801130,20190409,0.04842184667112867
801140,20190402,0.8855600937554247
801140,20190403,0.03253111185904215
801140,20190404,0.5185890776929842
801140,20190408,0.407065281871796
801140,20190409,0.14373335414210547
801150,20190402,0.7380211215278342
801150,20190403,0.043668860375225424
801150,20190404,0.24002821133419597
801150,20190408,0.17178830102623213
801150,20190409,0.2686840441724826
801160,20190402,0.7555549503864999
801160,20190403,0.2989910582350628
801160,20190404,0.2992262066239952
801160,20190408,0.4863039716574498
801160,20190409,0.19520824078005952
801170,20190402,0.8972773141228361
801170,20190403,0.4738352737967674
801170,20190404,0.2788654225966053
801170,20190408,0.3484809852501277
801170,20190409,0.18123366052852338
801180,20190402,0.13654449187519943
801180,20190403,0.13225226976639184
801180,20190404,0.19112177458297624
801180,20190408,0.2810814238810906
801180,20190409,0.2246940000614892
801200,20190402,0.5149069156296513
801200,20190403,0.09396577119694119
801200,20190404,0.23313568517124547
801200,20190408,0.2845876890539424
801200,20190409,0.11303357554829023
801210,20190402,0.9439545732210357
801210,20190403,0.45142930353370314
801210,20190404,0.35072916263846177
801210,20190408,0.22642558546183622
801210,20190409,0.1760240827490453
801230,20190402,0.48398595901629704
801230,20190403,0.08191134884541885
801230,20190404,0.3320576358331643
801230,20190408,0.47216418741509714
801230,20190409,0.16378619252622614
801250,20190402,0.625062433797515
801250,20190403,0.21193118950424622
801250,20190404,0.3906372048921472
801250,20190408,0.41900071939655337
801250,20190409,0.3389619622917045
801260,20190402,0.8627277529121937
801260,20190403,0.3944232336368811
801260,20190404,0.324507036974645
801260,20190408,0.1729152443077047
801260,20190409,0.3674850412843599
801270,20190402,0.7400815788738013
801270,20190403,0.1680869942326192
801270,20190404,0.32123378995351437
801270,20190408,0.29274517219711615
801270,20190409,0.10730752503812158
801280,20190402,0.6289528469518224
801280,20190403,0.07838262860788778
801280,20190404,0.4705586739078765
801280,20190408,0.26753457466219416
801280,20190409,0.44314951414824294
801300,20190402,0.8708525956654093
801300,20190403,0.3027250916138017
801300,20190404,0.19069701417979637
801300,20190408,0.3767156902649512
801300,20190409,0.432192998942981
801710,20190402,0.4397544478597917
801710,20190403,0.06659891804590398
801710,20190404,0.3403227971539732
801710,20190408,0.15618113746390197
801710,20190409,0.08216904312680133
801720,20190402,0.47959417799581877
801720,20190403,0.1879884946403864
801720,20190404,0.11202569077024682
801720,20190408,0.26354279200885294
801720,20190409,0.11328329700258362
801730,20190402,0.6896180457528309
801730,20190403,0.3016700720714279
801730,20190404,0.21714791416958718
801730,20190408,0.5237505512541527
801730,20190409,0.21145550265365606
801740,20190402,0.3212983373050098
801740,20190403,0.5826495514719716
801740,20190404,0.39370080875424446
801740,20190408,0.4823017779203817
801740,20190409,0.28414907962358105
801750,20190402,0.745367114946838
801750,20190403,0.2901811794779139
801750,20190404,0.46091835075304877
801750,20190408,0.615700805109854
801750,20190409,0.48231776273887855
801760,20190402,0.6666953557029929
801760,20190403,0.3829733838445274
801760,20190404,0.4458204898014725
801760,20190408,0.48218470665141544
801760,20190409,0.5002844392597185
801770,20190402,0.6981023077210865
801770,20190403,0.2620589092142663
801770,20190404,0.29402362452736586
801770,20190408,0.6266641183391821
801770,20190409,0.3677786788479418
801780,20190402,0.2985678030071216
801780,20190403,0.13496930547661248
801780,20190404,0.3332656497643983
801780,20190408,0.1452561932072227
801780,20190409,0.3291420043918244
801790,20190402,0.5411149389718337
801790,20190403,0.2679697629835052
801790,20190404,0.6875291016320434
801790,20190408,0.4355503645435488
801790,20190409,0.5626136751715933
801880,20190402,0.39142357457084387
801880,20190403,0.19793890152778662
801880,20190404,0.24181686184910225
801880,20190408,0.2641171452104529
801880,20190409,0.16033876047895074
801890,20190402,0.8565775774603758
801890,20190403,0.38849648248054097
801890,20190404,0.4709435599909023
801890,20190408,0.5163060784970492
801890,20190409,0.5070882751308714
802600,20190402,0.7626006873981461
802600,20190403,0.2678403736715169
802600,20190404,0.3692032339969106
802600,20190408,0.2863207898578367
802600,20190409,0.2765606962084157
